YYYYMMDD,t1 [days],Ap1 [2 nT],YYYYMMDD,t2 [days],Ap2 [2 nT]
19320101,1,15,19830101,1,11
19320102,2,26,19830102,2,7
19320103,3,11,19830103,3,11
19320104,4,4,19830104,4,9
19320105,5,3,19830105,5,6
19320106,6,4,19830106,6,3
19320107,7,10,19830107,7,4
19320108,8,19,19830108,8,9
19320109,9,18,19830109,9,20
19320110,10,15,19830110,10,78
19320111,11,18,19830111,11,11
19320112,12,18,19830112,12,18
19320113,13,9,19830113,13,8
19320114,14,10,19830114,14,8
19320115,15,11,19830115,15,22
19320116,16,8,19830116,16,25
19320117,17,5,19830117,17,25
19320118,18,2,19830118,18,32
19320119,19,2,19830119,19,17
19320120,20,3,19830120,20,14
19320121,21,2,19830121,21,12
19320122,22,2,19830122,22,8
19320123,23,3,19830123,23,10
19320124,24,7,19830124,24,22
19320125,25,20,19830125,25,16
19320126,26,16,19830126,26,12
19320127,27,25,19830127,27,10
19320128,28,26,19830128,28,10
19320129,29,9,19830129,29,16
19320130,30,7,19830130,30,19
19320131,31,13,19830131,31,13
19320201,32,4,19830201,32,11
19320202,33,3,19830202,33,5
19320203,34,28,19830203,34,7
19320204,35,32,19830204,35,59
19320205,36,16,19830205,36,143
19320206,37,15,19830206,37,47
19320207,38,11,19830207,38,43
19320208,39,15,19830208,39,18
19320209,40,12,19830209,40,18
19320210,41,20,19830210,41,23
19320211,42,17,19830211,42,24
19320212,43,18,19830212,43,33
19320213,44,13,19830213,44,35
19320214,45,11,19830214,45,28
19320215,46,7,19830215,46,25
19320216,47,2,19830216,47,30
19320217,48,1,19830217,48,16
19320218,49,3,19830218,49,14
19320219,50,9,19830219,50,10
19320220,51,20,19830220,51,41
19320221,52,6,19830221,52,36
19320222,53,17,19830222,53,21
19320223,54,15,19830223,54,17
19320224,55,15,19830224,55,14
19320225,56,14,19830225,56,6
19320226,57,6,19830226,57,5
19320227,58,3,19830227,58,7
19320228,59,2,19830228,59,8
19320229,60,2,19830301,60,21
19320301,61,3,19830302,61,86
19320302,62,17,19830303,62,36
19320303,63,25,19830304,63,26
19320304,64,26,19830305,64,28
19320305,65,28,19830306,65,12
19320306,66,22,19830307,66,7
19320307,67,17,19830308,67,6
19320308,68,26,19830309,68,8
19320309,69,28,19830310,69,7
19320310,70,36,19830311,70,24
19320311,71,26,19830312,71,53
19320312,72,8,19830313,72,24
19320313,73,6,19830314,73,26
19320314,74,9,19830315,74,15
19320315,75,5,19830316,75,11
19320316,76,5,19830317,76,11
19320317,77,4,19830318,77,20
19320318,78,21,19830319,78,28
19320319,79,8,19830320,79,32
19320320,80,8,19830321,80,12
19320321,81,24,19830322,81,9
19320322,82,27,19830323,82,9
19320323,83,12,19830324,83,10
19320324,84,9,19830325,84,50
19320325,85,5,19830326,85,13
19320326,86,2,19830327,86,3
19320327,87,4,19830328,87,37
19320328,88,38,19830329,88,40
